verified,id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_fr,description_en,background,foreground,border
true,cultures:europe:khvalynsk_culture,cultures-europe,-4900,-3500,Culture de Khvalynsk,Khvalynsk culture,https://fr.wikipedia.org/wiki/Culture_de_Khvalynsk,https://en.wikipedia.org/wiki/Khvalynsk_culture,culture de l'âge du bronze de la région de la Volga,Archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:square-mouthed_vases_culture,cultures-europe,-5100,-3800,Culture des Vases à embouchure carrée,Square-mouthed vases culture,https://en.wikipedia.org/wiki/Square-mouthed_vases_culture,https://en.wikipedia.org/wiki/Square-mouthed_vases_culture,,Neolithic culture in northern Italy,oklch(62.3% 0.214 259.815),,
true,cultures:europe:stroke-ornamented_ware_culture,cultures-europe,-4900,-4400,Culture à céramique ornée d'impressions,Stroke-ornamented ware culture,https://en.wikipedia.org/wiki/Stroke-ornamented_ware_culture,https://en.wikipedia.org/wiki/Stroke-ornamented_ware_culture,,Archeological horizon of Central Europe (4900–4400 BC),oklch(62.3% 0.214 259.815),,
true,cultures:europe:gumelni%c8%9ba_culture,cultures-europe,-4700,-3950,Gumelnița culture,Gumelnița culture,https://en.wikipedia.org/wiki/Gumelni%C8%9Ba_culture,https://en.wikipedia.org/wiki/Gumelni%C8%9Ba_culture,,Neolithic culture of Europe,oklch(62.3% 0.214 259.815),,
true,cultures:europe:danilo_culture,cultures-europe,-5600,-4900,Culture de Danilo,Danilo culture,https://fr.wikipedia.org/wiki/Culture_de_Danilo,https://en.wikipedia.org/wiki/Danilo_culture,Culture yougoslave du Néolithique moyen,Neolithic culture of the Dalmatian coast dating to 4700-3900 BC,oklch(62.3% 0.214 259.815),,
true,cultures:europe:gumelni%c8%9ba%e2%80%93kod%c5%beadermen-karanovo_vi_complex,cultures-europe,-5000,-4000,Culture de Gumelnița-Kodjadermen-Karanovo,Gumelnița–Kodžadermen-Karanovo VI complex,https://fr.wikipedia.org/wiki/Culture_de_Gumelnița-Kodjadermen-Karanovo,https://en.wikipedia.org/wiki/Gumelni%C8%9Ba%E2%80%93Kod%C5%BEadermen-Karanovo_VI_complex,culture chalcolithique des Balkans,Neolithic culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:r%c3%b6ssen_culture,cultures-europe,-4600,-4300,Culture de Rössen,Rössen culture,https://en.wikipedia.org/wiki/R%C3%B6ssen_culture,https://en.wikipedia.org/wiki/R%C3%B6ssen_culture,,undefined,oklch(62.3% 0.214 259.815),,
true,cultures:europe:varna_culture,cultures-europe,-4550,-4100,Varna culture,Varna culture,https://en.wikipedia.org/wiki/Varna_culture,https://en.wikipedia.org/wiki/Varna_culture,,Prehistoric culture in Bulgaria (ca. 4500 BCE),oklch(62.3% 0.214 259.815),,
true,cultures:europe:chass%c3%a9en_culture,cultures-europe,-4350,-3300,Chasséen,Chasséen culture,https://fr.wikipedia.org/wiki/Chasséen,https://en.wikipedia.org/wiki/Chass%C3%A9en_culture,culture archéologique du néolithique,Archaeological culture in prehistoric France,oklch(62.3% 0.214 259.815),,
true,cultures:europe:sredny_stog_culture,cultures-europe,-4200,-3500,Culture de Sredny Stog,Sredny Stog culture,https://fr.wikipedia.org/wiki/Culture_de_Sredny_Stog,https://en.wikipedia.org/wiki/Sredny_Stog_culture,,Archaeological culture in Eastern Europe,oklch(62.3% 0.214 259.815),,
true,cultures:europe:tiszapolg%c3%a1r_culture,cultures-europe,-4500,-4000,Tiszapolgár culture,Tiszapolgár culture,https://en.wikipedia.org/wiki/Tiszapolg%C3%A1r_culture,https://en.wikipedia.org/wiki/Tiszapolg%C3%A1r_culture,,4500–4000 BC European archaeological culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:michelsberg_culture,cultures-europe,-4400,-3500,Culture de Michelsberg,Michelsberg culture,https://en.wikipedia.org/wiki/Michelsberg_culture,https://en.wikipedia.org/wiki/Michelsberg_culture,,Central European Neolithic culture,oklch(62.3% 0.214 259.815),,
true,cultures:europe:funnelbeaker_culture,cultures-europe,-4300,-2800,Culture des vases a entonnoir,Funnelbeaker culture,https://fr.wikipedia.org/wiki/Culture_des_vases_à_entonnoir,https://en.wikipedia.org/wiki/Funnelbeaker_culture,TRB - culture de l'Europe du Néolithique,North-central European culture around 4300–2800 BCE,oklch(62.3% 0.214 259.815),,
