id,group,start,end,name_fr,name_en,wiki_fr,wiki_en,description_fr,description_en,type,background,foreground,border
ischart:Drumian,geology-age,-504500000,-500500000,Drumien,Drumian,https://fr.wikipedia.org/wiki/Drumien,https://en.wikipedia.org/wiki/Drumian,A time period from 504.5 to 500.5 million years ago,A time period from 504.5 to 500.5 million years ago,,#BFD99D,#000,#000
ischart:Guzhangian,geology-age,-500500000,-497000000,Guzhangien,Guzhangian,https://fr.wikipedia.org/wiki/Guzhangien,https://en.wikipedia.org/wiki/Guzhangian,A time period from 500.5 to 497.0 million years ago,A time period from 500.5 to 497.0 million years ago,,#CCDFAA,#000,#000
ischart:Paibian,geology-age,-497000000,-494200000,Paibien,Paibian,https://fr.wikipedia.org/wiki/Paibien,https://en.wikipedia.org/wiki/Paibian,A time period from 497.0 to 494.2 million years ago,A time period from 497.0 to 494.2 million years ago,,#CCEBAE,#000,#000
ischart:Furongian,geology-epoch,-497000000,-486850000,Furongien,Furongian,https://fr.wikipedia.org/wiki/Furongien,https://en.wikipedia.org/wiki/Furongian,A time period from 497.0 to 486.85 million years ago,A time period from 497.0 to 486.85 million years ago,,#B3E095,#000,#000
ischart:Jiangshanian,geology-age,-494200000,-491000000,Jiangshanian,Jiangshanian,https://fr.wikipedia.org/wiki/Jiangshanien,https://en.wikipedia.org/wiki/Jiangshanian,A time period from 494.2 to 491.0 million years ago,A time period from 494.2 to 491.0 million years ago,,#D9F0BB,#000,#000
ischart:CambrianStage10,geology-age,-491000000,-486850000,Étage 10,Stage 10,https://fr.wikipedia.org/wiki/Étage_10,https://en.wikipedia.org/wiki/Cambrian_Stage_10,A time period from 491.0 to 486.85 million years ago,A time period from 491.0 to 486.85 million years ago,,#E6F5C9,#000,#000
ischart:Tremadocian,geology-age,-486850000,-477100000,Trémadocien,Tremadocian,https://fr.wikipedia.org/wiki/Trémadocien,https://en.wikipedia.org/wiki/Tremadocian,A time period from 486.85 to 477.1 million years ago,A time period from 486.85 to 477.1 million years ago,,#33A97E,#000,#000
ischart:LowerOrdovician,geology-epoch,-486850000,-471300000,Ordovicien précoce,Early Ordovician,https://fr.wikipedia.org/wiki/Ordovicien_inférieur,https://en.wikipedia.org/wiki/Early_Ordovician,A time period from 486.85 to 471.3 million years ago,A time period from 486.85 to 471.3 million years ago,,#1A9D6F,#000,#000
ischart:Ordovician,geology-period,-486850000,-443100000,Ordovicien,Ordovician,https://fr.wikipedia.org/wiki/Ordovicien,https://en.wikipedia.org/wiki/Ordovician,A time period from 486.85 to 443.1 million years ago,A time period from 486.85 to 443.1 million years ago,,#009270,#000,#000
ischart:Floian,geology-age,-477100000,-471300000,Floien,Floian,https://fr.wikipedia.org/wiki/Floien,https://en.wikipedia.org/wiki/Floian,A time period from 477.1 to 471.3 million years ago,A time period from 477.1 to 471.3 million years ago,,#41B087,#000,#000
ischart:Dapingian,geology-age,-471300000,-469400000,Dapingien,Dapingian,https://fr.wikipedia.org/wiki/Dapingien,https://en.wikipedia.org/wiki/Dapingian,A time period from 471.3 to 469.4 million years ago,A time period from 471.3 to 469.4 million years ago,,#66C092,#000,#000
ischart:MiddleOrdovician,geology-epoch,-471300000,-458200000,Ordovicien moyen,Middle Ordovician,https://fr.wikipedia.org/wiki/Ordovicien_moyen,https://en.wikipedia.org/wiki/Ordovician,A time period from 471.3 to 458.2 million years ago,A time period from 471.3 to 458.2 million years ago,,#4DB47E,#000,#000
ischart:Darriwilian,geology-age,-469400000,-458200000,Darriwilien,Darriwilian,https://fr.wikipedia.org/wiki/Darriwilien,https://en.wikipedia.org/wiki/Darriwilian,A time period from 469.4 to 458.2 million years ago,A time period from 469.4 to 458.2 million years ago,,#74C69C,#000,#000
ischart:Sandbian,geology-age,-458200000,-452800000,Sandbien,Sandbian,https://fr.wikipedia.org/wiki/Sandbien,https://en.wikipedia.org/wiki/Sandbian,A time period from 458.2 to 452.8 million years ago,A time period from 458.2 to 452.8 million years ago,,#8CD094,#000,#000
ischart:UpperOrdovician,geology-epoch,-458200000,-443100000,Ordovicien tardif,Late Ordovician,https://fr.wikipedia.org/wiki/Ordovicien_supérieur,https://en.wikipedia.org/wiki/Late_Ordovician,A time period from 458.2 to 443.1 million years ago,A time period from 458.2 to 443.1 million years ago,,#7FCA93,#000,#000
ischart:Katian,geology-age,-452800000,-445200000,Katien,Katian,https://fr.wikipedia.org/wiki/Katien,https://en.wikipedia.org/wiki/Katian,A time period from 452.8 to 445.2 million years ago,A time period from 452.8 to 445.2 million years ago,,#99D69F,#000,#000
ischart:Hirnantian,geology-age,-445200000,-443100000,Hirnantien,Hirnantian,https://fr.wikipedia.org/wiki/Hirnantien,https://en.wikipedia.org/wiki/Hirnantian,A time period from 445.2 to 443.1 million years ago,A time period from 445.2 to 443.1 million years ago,,#A6DBAB,#000,#000
ischart:Rhuddanian,geology-age,-443100000,-440500000,Rhuddanien,Rhuddanian,https://fr.wikipedia.org/wiki/Rhuddanien,https://en.wikipedia.org/wiki/Rhuddanian,A time period from 443.1 to 440.5 million years ago,A time period from 443.1 to 440.5 million years ago,,#A6DCB5,#000,#000
ischart:Llandovery,geology-epoch,-443100000,-432900000,Llandovery,Llandovery,https://fr.wikipedia.org/wiki/Llandovery_(série),https://en.wikipedia.org/wiki/Llandovery_Epoch,A time period from 443.1 to 432.9 million years ago,A time period from 443.1 to 432.9 million years ago,,#99D7B3,#000,#000
ischart:Silurian,geology-period,-443100000,-419620000,Silurien,Silurian,https://fr.wikipedia.org/wiki/Silurien,https://en.wikipedia.org/wiki/Silurian,A time period from 443.1 to 419.62 million years ago,A time period from 443.1 to 419.62 million years ago,,#B3E1B6,#000,#000
ischart:Aeronian,geology-age,-440500000,-438600000,Aéronien,Aeronian,https://fr.wikipedia.org/wiki/Aéronien,https://en.wikipedia.org/wiki/Aeronian,A time period from 440.5 to 438.6 million years ago,A time period from 440.5 to 438.6 million years ago,,#B3E1C2,#000,#000
ischart:Telychian,geology-age,-438600000,-432900000,Télychien,Telychian,https://fr.wikipedia.org/wiki/Télychien,https://en.wikipedia.org/wiki/Telychian,A time period from 438.6 to 432.9 million years ago,A time period from 438.6 to 432.9 million years ago,,#BFE6CF,#000,#000
ischart:Sheinwoodian,geology-age,-432900000,-430600000,Sheinwoodien,Sheinwoodian,https://fr.wikipedia.org/wiki/Sheinwoodien,https://en.wikipedia.org/wiki/Sheinwoodian,A time period from 432.9 to 430.6 million years ago,A time period from 432.9 to 430.6 million years ago,,#BFE6C3,#000,#000
